Accession,SRA_Accession,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Genotype,Segment,Host,Isolation_Source,BioSample,GenBank_Title
LC311529,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB9_KW-15-0377"
LC311530,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-14-0411"
LC311531,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-15-0756"
LC311532,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-15-0754"
LC311533,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-15-0743"
LC311534,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-15-0752"
LC311535,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-15-0739"
LC311536,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-15-0719"
LC311537,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-15-0714"
LC311538,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-15-0707"
LC311539,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB8_KW-15-0450"
LC311540,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB8_KW-15-0425"
LC311541,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB8_KW-15-0423"
LC311542,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB9_KW-15-0400"
LC311543,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-14-0435"
LC311544,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-14-0364"
LC311545,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-14-0351"
LC311546,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB6_CA-14-0307"
LC311547,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB6_CA-14-0298"
LC311548,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB9_KW-14-0484"
LC311549,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB9_KW-14-0470"
LC311550,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB9_KW-14-0462"
LC311551,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB9_KW-14-0455"
LC311552,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB8_KW-14-0289"
LC311553,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB8_KW-14-0283"
LC311554,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB8_KW-14-0282"
LC311555,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB8_KW-14-0268"
LC311556,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TBp-13-0399"
LC311557,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TBp-13-0398"
LC311558,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TBp-13-0349"
LC311559,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TBp-13-0213"
LC311560,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TBp-13-0212"
LC311561,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TBp-13-0200"
LC311562,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TBp-12-0058"
LC311563,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TTa-11-0632"
LC311564,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TTa-11-0611"
LC311565,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TTa-11-0555"
LC311566,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TTa-11-0554"
LC311567,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TTa-11-0375"
LC311568,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TTa-10-0036"
LC311569,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TTa-10-0011"
LC311570,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TTa-10-0009"
LC311571,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TTa-09-0311"
LC311572,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TTa-08-0454"
LC311573,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TTa-08-0412"
LC377910,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,F,Homo sapiens,,,"Human respiratory syncytial virus A TB5_CA-14-0345 F gene for fusion protein, complete cds"
LC377911,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,F,Homo sapiens,,,"Human respiratory syncytial virus A TB1_KW-14-0022 F gene for fusion protein, complete cds"
KY709127,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,1,,Homo sapiens,blood,,"Dengue virus strain SLH10-47/DENV1 envelope protein gene, partial cds"
KY709128,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,1,,Homo sapiens,blood,,"Dengue virus strain SLH10-60/DENV1 envelope protein gene, partial cds"
KY709129,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,1,,Homo sapiens,blood,,"Dengue virus strain SLH10-69/DENV1 envelope protein gene, partial cds"
KY709130,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,2,,Homo sapiens,blood,,"Dengue virus strain SLH10-17/DENV2 envelope protein gene, partial cds"
KY709131,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,2,,Homo sapiens,blood,,"Dengue virus strain SLH10-53/DENV2 envelope protein gene, partial cds"
KY709132,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,2,,Homo sapiens,blood,,"Dengue virus strain SLH10-59/DENV2 envelope protein gene, partial cds"
KY709133,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1479,GenBank,3,,Homo sapiens,blood,,"Dengue virus strain SLH10-29/DENV3 envelope protein gene, partial cds"
KY709134,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1479,GenBank,3,,Homo sapiens,blood,,"Dengue virus strain SLH10-41/DENV3 envelope protein gene, partial cds"
KY709135,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1479,GenBank,3,,Homo sapiens,blood,,"Dengue virus strain SLH10-67/DENV3 envelope protein gene, partial cds"
KY709136,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,4,,Homo sapiens,blood,,"Dengue virus strain SLH10-8/DENV4 envelope protein gene, partial cds"
MF773563,,Chikungunya virus,Alphavirus,Togaviridae,ssRNA(+),12012,GenBank,,,Homo sapiens,,,"Chikungunya virus isolate Philippines 2014, complete genome"
MF773564,,Chikungunya virus,Alphavirus,Togaviridae,ssRNA(+),12012,GenBank,,,Homo sapiens,,,"Chikungunya virus isolate Philippines 2016, complete genome"
LC259084,,Chikungunya virus,Alphavirus,Togaviridae,ssRNA(+),11991,GenBank,,,Homo sapiens,blood,,"Chikungunya virus genomic RNA, nearly complete genome, isolate: CHIKV/Hu/Philippines/NIID165/2012"
LC310707,,Armigeres iflavirus,Iflavirus,Iflaviridae,ssRNA(+),9283,GenBank,,,Armigeres,,,"Armigeres iflavirus gene for polyprotein, complete cds, strain: 10P38-310"
KT749991,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,4,,Homo sapiens,,,"Dengue virus 4 isolate Philippines 2005 envelope protein gene, partial cds"
KT749997,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,4,,Homo sapiens,,,"Dengue virus 4 isolate Philippines 2011 envelope protein gene, partial cds"
KT749999,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,4,,Homo sapiens,,,"Dengue virus 4 isolate Philippines 2012a envelope protein gene, partial cds"
KT750001,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,4,,Homo sapiens,,,"Dengue virus 4 isolate Philippines 2012b envelope protein gene, partial cds"
KT750005,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,4,,Homo sapiens,,,"Dengue virus 4 isolate Philippines 2013a envelope protein gene, partial cds"
KT750006,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,4,,Homo sapiens,,,"Dengue virus 4 isolate Philippines 2013b envelope protein gene, partial cds"
KT758739,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1479,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate Philippines 2011 envelope protein gene, partial cds"
KT758747,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1479,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate Philippines 2012 envelope protein gene, partial cds"
KT758766,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1479,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate Philippines 2013 envelope protein gene, partial cds"
KT758781,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1479,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate Philippines 2014 envelope protein gene, partial cds"
KT781564,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,2,,Homo sapiens,,,"Dengue virus 2 isolate Philippines 2014a envelope protein gene, partial cds"
KT781571,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,2,,Homo sapiens,,,"Dengue virus 2 isolate Philippines 2015 envelope protein gene, partial cds"
KT806319,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,2,,Homo sapiens,,,"Dengue virus 2 isolate Philippines 2014b envelope protein gene, partial cds"
KT824988,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,1,,Homo sapiens,,,"Dengue virus 1 isolate Philippines 2012a envelope protein gene, partial cds"
KT824989,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,1,,Homo sapiens,,,"Dengue virus 1 isolate Philippines 2012b envelope protein gene, partial cds"
KT825007,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,1,,Homo sapiens,,,"Dengue virus 1 isolate Philippines 2013 envelope protein gene, partial cds"
KT825047,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,1,,Homo sapiens,,,"Dengue virus 1 isolate Philippines 2011 envelope protein gene, partial cds"
KT825075,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1479,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate Philippines 2015 envelope protein gene, partial cds"
KY495796,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,1,,Homo sapiens,,,"Dengue virus 1 isolate Philippines 2016 envelope protein gene, partial cds"
KY495822,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1479,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate Philippines 2016 envelope protein gene, partial cds"
LC315929,,Bovine fever ephemerovirus,Ephemerovirus,Rhabdoviridae,ssRNA(-),145,GenBank,,,Bos taurus,,,"Bovine ephemeral fever virus isolate 1 G mRNA, glycoprotein, partial sequence"
LC315930,,Bovine fever ephemerovirus,Ephemerovirus,Rhabdoviridae,ssRNA(-),144,GenBank,,,Bos taurus,,,"Bovine ephemeral fever virus isolate 2 G mRNA, glycoprotein, partial sequence"
MF576298,,Turnip yellow mosaic virus,Tymovirus,Tymoviridae,ssRNA(+),491,GenBank,,,Brassica rapa subsp. pekinensis,,,"Turnip yellow mosaic virus isolate TYMV1 helicase gene, partial cds"
MF576299,,Turnip yellow mosaic virus,Tymovirus,Tymoviridae,ssRNA(+),491,GenBank,,,,,,"Turnip yellow mosaic virus isolate TYMV2 helicase gene, partial cds"
KX789219,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),927,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TTS-14-Ph026 polyprotein gene, partial cds"
KX789220,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),642,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TOp-13-Ph086 polyprotein gene, partial cds"
KX789227,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),5425,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TBp-13-Ph209 polyprotein gene, partial cds"
KX789228,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),5727,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TOp-13-Ph364 polyprotein gene, partial cds"
KX789229,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),5520,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TOp-13-Ph397 polyprotein gene, partial cds"
KX789230,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),5416,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TOp-14-Ph009 polyprotein gene, partial cds"
KX789231,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),5727,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TOp-15-Ph068 polyprotein gene, partial cds"
KX789232,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),4882,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TOp-12-Ph146 polyprotein gene, partial cds"
KX789233,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),5416,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TTS-13-Ph095 polyprotein gene, partial cds"
KX789234,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),5416,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TTS-13-Ph139 polyprotein gene, partial cds"
KX789235,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),2701,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TOp-13-Ph415 polyprotein gene, partial cds"
KX789236,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),2806,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TTS-13-Ph031 polyprotein gene, partial cds"
KX789237,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),2806,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TOp-13-Ph418 polyprotein gene, partial cds"
KX789238,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),3126,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TB9-15-Ph380 polyprotein gene, partial cds"
KX789239,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),2835,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TB8-15-Ph508 polyprotein gene, partial cds"
KX789240,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),2807,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TTS-13-Ph096 polyprotein gene, partial cds"
KX789241,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),5417,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TEv-13-Ph397 polyprotein gene, partial cds"
KX789242,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),3553,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate ILI-13-Ph137 polyprotein gene, partial cds"
KX789243,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),5416,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate ILI-14-Ph037 polyprotein gene, partial cds"
KX789244,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),5227,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TTa-13-Ph162 polyprotein gene, partial cds"
KX789245,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),5425,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TTa-13-Ph137 polyprotein gene, partial cds"
KX789246,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),5431,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TTa-13-Ph173 polyprotein gene, partial cds"
KX789247,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),2806,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TOp-13-Ph396 polyprotein gene, partial cds"
KX789248,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),2806,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate ILI-14-Ph023 polyprotein gene, partial cds"
KX789249,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),2806,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TEv-14-Ph032 polyprotein gene, partial cds"
KX789250,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),2806,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TBp-13-Ph417 polyprotein gene, partial cds"
KX789251,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),2806,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 isolate TOp-13-Ph416 polyprotein gene, partial cds"
